,hospital_name,state,readmission_ratio,predicted_rate,expected_rate,zip
6159,PRESENCE COVENANT MEDICAL CENTER,IL,1.0753,22.1,20.6,61801
6160,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8761,14.0,16.0,61761
6161,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8761,14.0,16.0,61761
6162,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8761,14.0,16.0,61761
6163,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8761,14.0,16.0,61704
6164,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9854,12.7,12.8,61761
6165,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9854,12.7,12.8,61761
6166,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9854,12.7,12.8,61761
6167,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9854,12.7,12.8,61704
6168,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9162,14.2,15.5,61761
6169,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9162,14.2,15.5,61761
6170,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9162,14.2,15.5,61761
6171,ADVOCATE BROMENN MEDICAL CENTER,IL,0.9162,14.2,15.5,61704
6172,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0058,20.7,20.6,61761
6173,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0058,20.7,20.6,61761
6174,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0058,20.7,20.6,61761
6175,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0058,20.7,20.6,61704
6176,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0484,21.7,20.7,61761
6177,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0484,21.7,20.7,61761
6178,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0484,21.7,20.7,61761
6179,ADVOCATE BROMENN MEDICAL CENTER,IL,1.0484,21.7,20.7,61704
6180,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8652,3.8,4.4,61761
6181,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8652,3.8,4.4,61761
6182,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8652,3.8,4.4,61761
6183,ADVOCATE BROMENN MEDICAL CENTER,IL,0.8652,3.8,4.4,61704
6184,CLARK MEMORIAL HOSPITAL,IN,1.0151,23.5,23.2,47130
6185,CLARK MEMORIAL HOSPITAL,IN,1.0151,23.5,23.2,47130
6186,CLARK MEMORIAL HOSPITAL,IN,0.9797,15.8,16.2,47130
6187,CLARK MEMORIAL HOSPITAL,IN,0.9797,15.8,16.2,47130
6188,CLARK MEMORIAL HOSPITAL,IN,1.0608,18.8,17.8,47130
6189,CLARK MEMORIAL HOSPITAL,IN,1.0608,18.8,17.8,47130
6190,CLARK MEMORIAL HOSPITAL,IN,1.0452,19.7,18.8,47130
6191,CLARK MEMORIAL HOSPITAL,IN,1.0452,19.7,18.8,47130
6192,CLARK MEMORIAL HOSPITAL,IN,1.0085,4.7,4.7,47130
6193,CLARK MEMORIAL HOSPITAL,IN,1.0085,4.7,4.7,47130
6194,DEARBORN COUNTY HOSPITAL,IN,1.0242,5.0,4.8,47025
6195,DEARBORN COUNTY HOSPITAL,IN,1.0704,20.9,19.5,47025
6196,DEARBORN COUNTY HOSPITAL,IN,1.0215,19.7,19.3,47025
6197,DEARBORN COUNTY HOSPITAL,IN,1.0686,22.9,21.4,47025
6198,DEARBORN COUNTY HOSPITAL,IN,1.101,18.2,16.5,47025
6199,EDWARD HOSPITAL,IL,1.0791,15.0,13.9,60540
6200,EDWARD HOSPITAL,IL,1.0459,22.2,21.3,60540
6201,EDWARD HOSPITAL,IL,1.0907,4.5,4.1,60540
6202,EDWARD HOSPITAL,IL,1.0131,20.2,19.9,60540
6203,EDWARD HOSPITAL,IL,1.0551,17.8,16.9,60540
6204,EDWARD HOSPITAL,IL,1.2369,15.2,12.3,60540
6205,TRINITY REGIONAL MEDICAL CENTER,IA,0.8684,13.6,15.6,50501
6206,TRINITY REGIONAL MEDICAL CENTER,IA,0.8684,13.6,15.6,50501
6207,TRINITY REGIONAL MEDICAL CENTER,IA,0.8684,13.6,15.6,50501
6208,TRINITY REGIONAL MEDICAL CENTER,IA,1.1524,6.8,5.9,50501
6209,TRINITY REGIONAL MEDICAL CENTER,IA,1.1524,6.8,5.9,50501
6210,TRINITY REGIONAL MEDICAL CENTER,IA,1.1524,6.8,5.9,50501
6211,TRINITY REGIONAL MEDICAL CENTER,IA,0.9093,12.2,13.4,50501
6212,TRINITY REGIONAL MEDICAL CENTER,IA,0.9093,12.2,13.4,50501
6213,TRINITY REGIONAL MEDICAL CENTER,IA,0.9093,12.2,13.4,50501
6214,TRINITY REGIONAL MEDICAL CENTER,IA,0.8435,16.6,19.7,50501
6215,TRINITY REGIONAL MEDICAL CENTER,IA,0.8435,16.6,19.7,50501
6216,TRINITY REGIONAL MEDICAL CENTER,IA,0.8435,16.6,19.7,50501
6217,TRINITY REGIONAL MEDICAL CENTER,IA,0.9075,15.1,16.6,50501
6218,TRINITY REGIONAL MEDICAL CENTER,IA,0.9075,15.1,16.6,50501
6219,TRINITY REGIONAL MEDICAL CENTER,IA,0.9075,15.1,16.6,50501
6220,MARY GREELEY MEDICAL CENTER,IA,0.9663,15.8,16.3,50010
6221,MARY GREELEY MEDICAL CENTER,IA,0.986,18.7,19.0,50010
6222,MARY GREELEY MEDICAL CENTER,IA,0.8548,3.4,3.9,50010
6223,MARY GREELEY MEDICAL CENTER,IA,0.9493,15.5,16.3,50010
6224,MARY GREELEY MEDICAL CENTER,IA,0.9386,20.2,21.5,50010
6225,RIVERSIDE MEDICAL CENTER,IL,0.9921,22.0,22.2,60901
6226,RIVERSIDE MEDICAL CENTER,IL,0.9921,22.0,22.2,60901
6227,RIVERSIDE MEDICAL CENTER,IL,0.9003,4.2,4.6,60901
6228,RIVERSIDE MEDICAL CENTER,IL,0.9003,4.2,4.6,60901
6229,RIVERSIDE MEDICAL CENTER,IL,0.9455,15.6,16.5,60901
6230,RIVERSIDE MEDICAL CENTER,IL,0.9455,15.6,16.5,60901
6231,RIVERSIDE MEDICAL CENTER,IL,0.9,19.4,21.6,60901
6232,RIVERSIDE MEDICAL CENTER,IL,0.9,19.4,21.6,60901
6233,RIVERSIDE MEDICAL CENTER,IL,1.087,17.2,15.8,60901
6234,RIVERSIDE MEDICAL CENTER,IL,1.087,17.2,15.8,60901
6235,RIVERSIDE MEDICAL CENTER,IL,0.9539,17.0,17.8,60901
6236,RIVERSIDE MEDICAL CENTER,IL,0.9539,17.0,17.8,60901
6237,ELMHURST MEMORIAL HOSPITAL,IL,0.9321,17.4,18.7,60126
6238,ELMHURST MEMORIAL HOSPITAL,IL,1.0452,14.3,13.7,60126
6239,ELMHURST MEMORIAL HOSPITAL,IL,1.0541,17.2,16.3,60126
6240,ELMHURST MEMORIAL HOSPITAL,IL,1.0184,21.1,20.7,60126
6241,ELMHURST MEMORIAL HOSPITAL,IL,0.9591,15.7,16.4,60126
6242,ELMHURST MEMORIAL HOSPITAL,IL,1.1151,4.8,4.3,60126
6243,ST ALEXIUS MEDICAL CENTER,IL,0.9907,20.5,20.7,60169
6244,ST ALEXIUS MEDICAL CENTER,IL,0.9048,21.0,23.2,60169
6245,ST ALEXIUS MEDICAL CENTER,IL,1.3885,6.5,4.7,60169
6246,ST ALEXIUS MEDICAL CENTER,IL,0.893,16.3,18.2,60169
6247,ST ALEXIUS MEDICAL CENTER,IL,0.8715,16.1,18.5,60169
6248,FRANCISCAN HEALTH HAMMOND,IN,1.043,19.4,18.6,46320
6249,FRANCISCAN HEALTH HAMMOND,IN,1.031,19.6,19.0,46320
6250,FRANCISCAN HEALTH HAMMOND,IN,1.1683,26.3,22.5,46320
6251,FRANCISCAN HEALTH HAMMOND,IN,1.1035,22.6,20.5,46320
6252,HENDRICKS REGIONAL HEALTH,IN,0.9491,15.2,16.0,46122
6253,HENDRICKS REGIONAL HEALTH,IN,0.9491,15.2,16.0,46122
6254,HENDRICKS REGIONAL HEALTH,IN,0.8514,3.7,4.4,46122
6255,HENDRICKS REGIONAL HEALTH,IN,0.8514,3.7,4.4,46122
6256,HENDRICKS REGIONAL HEALTH,IN,0.9466,20.1,21.3,46122
6257,HENDRICKS REGIONAL HEALTH,IN,0.9466,20.1,21.3,46122
6258,HENDRICKS REGIONAL HEALTH,IN,1.0567,16.3,15.4,46122
6259,HENDRICKS REGIONAL HEALTH,IN,1.0567,16.3,15.4,46122
6260,HENDRICKS REGIONAL HEALTH,IN,0.9493,17.1,18.0,46122
6261,HENDRICKS REGIONAL HEALTH,IN,0.9493,17.1,18.0,46122
6262,PREMIER SURGICAL INSTITUTE,KS,0.8178,3.3,4.0,66739
6263,KING'S DAUGHTERS' MEDICAL CENTER,KY,1.0849,17.8,16.4,41101
6264,KING'S DAUGHTERS' MEDICAL CENTER,KY,1.1048,20.4,18.4,41101
6265,KING'S DAUGHTERS' MEDICAL CENTER,KY,1.0751,25.3,23.5,41101
6266,KING'S DAUGHTERS' MEDICAL CENTER,KY,1.2182,6.6,5.4,41101
6267,KING'S DAUGHTERS' MEDICAL CENTER,KY,1.0816,22.8,21.1,41101
6268,KING'S DAUGHTERS' MEDICAL CENTER,KY,1.0691,14.0,13.0,41101
6269,FLAGET MEMORIAL HOSPITAL,KY,0.9432,20.4,21.6,40004
6270,FLAGET MEMORIAL HOSPITAL,KY,0.9227,4.4,4.8,40004
6271,FLAGET MEMORIAL HOSPITAL,KY,0.9821,20.1,20.5,40004
6272,FLAGET MEMORIAL HOSPITAL,KY,0.8967,17.0,18.9,40004
6273,FLAGET MEMORIAL HOSPITAL,KY,0.8349,14.9,17.9,40004
6274,KOSCIUSKO COMMUNITY HOSPITAL,IN,1.0434,21.1,20.2,46580
6275,KOSCIUSKO COMMUNITY HOSPITAL,IN,0.9609,15.3,15.9,46580
6276,KOSCIUSKO COMMUNITY HOSPITAL,IN,1.0372,4.9,4.7,46580
6277,KOSCIUSKO COMMUNITY HOSPITAL,IN,0.9702,19.0,19.6,46580
6278,PARKVIEW NOBLE HOSPITAL,IN,1.0167,5.3,5.2,46755
6279,PARKVIEW NOBLE HOSPITAL,IN,0.9836,20.7,21.0,46755
6280,PARKVIEW NOBLE HOSPITAL,IN,0.9382,13.9,14.9,46755
6281,PARKVIEW NOBLE HOSPITAL,IN,0.9504,17.7,18.6,46755
6282,LAWRENCE MEMORIAL HOSPITAL,KS,1.0567,21.2,20.0,66044
6283,LAWRENCE MEMORIAL HOSPITAL,KS,0.9734,14.6,15.0,66044
6284,LAWRENCE MEMORIAL HOSPITAL,KS,0.9301,16.9,18.2,66044
6285,LAWRENCE MEMORIAL HOSPITAL,KS,1.0172,14.1,13.9,66044
6286,LAWRENCE MEMORIAL HOSPITAL,KS,0.9497,3.7,3.9,66044
6287,SARTORI MEMORIAL HOSPITAL,IA,0.9712,21.3,21.9,50613
6288,SARTORI MEMORIAL HOSPITAL,IA,0.9712,21.3,21.9,50613
6289,SARTORI MEMORIAL HOSPITAL,IA,0.9961,15.4,15.4,50613
6290,SARTORI MEMORIAL HOSPITAL,IA,0.9961,15.4,15.4,50613
6291,SARTORI MEMORIAL HOSPITAL,IA,0.8868,4.0,4.5,50613
6292,SARTORI MEMORIAL HOSPITAL,IA,0.8868,4.0,4.5,50613
6293,SARTORI MEMORIAL HOSPITAL,IA,0.9887,18.9,19.2,50613
6294,SARTORI MEMORIAL HOSPITAL,IA,0.9887,18.9,19.2,50613
6295,MERCY MEDICAL CENTER-DUBUQUE,IA,1.146,4.3,3.8,52001
6296,MERCY MEDICAL CENTER-DUBUQUE,IA,1.0031,14.2,14.2,52001
6297,MERCY MEDICAL CENTER-DUBUQUE,IA,1.0215,11.0,10.8,52001
6298,MERCY MEDICAL CENTER-DUBUQUE,IA,0.9204,16.2,17.6,52001
6299,MERCY MEDICAL CENTER-DUBUQUE,IA,1.015,12.6,12.5,52001
6300,MERCY MEDICAL CENTER-DUBUQUE,IA,0.9949,17.0,17.1,52001
6301,THIBODAUX REGIONAL MEDICAL CENTER,LA,0.937,14.5,15.5,70301
6302,THIBODAUX REGIONAL MEDICAL CENTER,LA,0.937,14.5,15.5,70301
6303,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.013,17.7,17.4,70301
6304,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.013,17.7,17.4,70301
6305,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.0568,14.1,13.3,70301
6306,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.0568,14.1,13.3,70301
6307,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.0744,4.7,4.4,70301
6308,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.0744,4.7,4.4,70301
6309,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.0442,23.4,22.4,70301
6310,THIBODAUX REGIONAL MEDICAL CENTER,LA,1.0442,23.4,22.4,70301
6311,THIBODAUX REGIONAL MEDICAL CENTER,LA,0.986,20.8,21.1,70301
6312,THIBODAUX REGIONAL MEDICAL CENTER,LA,0.986,20.8,21.1,70301
6313,TECHE REGIONAL MEDICAL CENTER,LA,1.0627,18.9,17.8,70380
6314,TECHE REGIONAL MEDICAL CENTER,LA,1.0627,18.9,17.8,70380
6315,TECHE REGIONAL MEDICAL CENTER,LA,1.0627,18.9,17.8,70380
6316,TECHE REGIONAL MEDICAL CENTER,LA,1.0627,18.9,17.8,70535
6317,TECHE REGIONAL MEDICAL CENTER,LA,1.0627,18.9,17.8,70535
6318,TECHE REGIONAL MEDICAL CENTER,LA,1.0329,22.1,21.4,70380
6319,TECHE REGIONAL MEDICAL CENTER,LA,1.0329,22.1,21.4,70380
6320,TECHE REGIONAL MEDICAL CENTER,LA,1.0329,22.1,21.4,70380
6321,TECHE REGIONAL MEDICAL CENTER,LA,1.0329,22.1,21.4,70535
6322,TECHE REGIONAL MEDICAL CENTER,LA,1.0329,22.1,21.4,70535
6323,TECHE REGIONAL MEDICAL CENTER,LA,1.048,20.6,19.6,70380
6324,TECHE REGIONAL MEDICAL CENTER,LA,1.048,20.6,19.6,70380
6325,TECHE REGIONAL MEDICAL CENTER,LA,1.048,20.6,19.6,70380
6326,TECHE REGIONAL MEDICAL CENTER,LA,1.048,20.6,19.6,70535
6327,TECHE REGIONAL MEDICAL CENTER,LA,1.048,20.6,19.6,70535
6328,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.9493,15.5,16.4,71301
6329,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.9493,15.5,16.4,71301
6330,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.9781,22.0,22.5,71301
6331,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.9781,22.0,22.5,71301
6332,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.8592,12.3,14.4,71301
6333,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.8592,12.3,14.4,71301
6334,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.9717,19.4,19.9,71301
6335,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.9717,19.4,19.9,71301
6336,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.953,16.8,17.6,71301
6337,CHRISTUS ST FRANCES CABRINI HOSPITAL,LA,0.953,16.8,17.6,71301
6338,LANE REGIONAL MEDICAL CENTER,LA,1.097,21.5,19.6,70791
6339,LANE REGIONAL MEDICAL CENTER,LA,1.0806,16.8,15.5,70791
6340,LANE REGIONAL MEDICAL CENTER,LA,1.1899,5.6,4.7,70791
6341,LANE REGIONAL MEDICAL CENTER,LA,1.2258,18.6,15.1,70791
6342,LANE REGIONAL MEDICAL CENTER,LA,1.0913,19.3,17.7,70791
6343,SAVOY MEDICAL CENTER,LA,1.0128,17.3,17.1,70554
6344,SAVOY MEDICAL CENTER,LA,1.0128,17.3,17.1,70554
6345,SAVOY MEDICAL CENTER,LA,1.014,19.5,19.2,70554
6346,SAVOY MEDICAL CENTER,LA,1.014,19.5,19.2,70554
6347,SAVOY MEDICAL CENTER,LA,1.0042,21.5,21.4,70554
6348,SAVOY MEDICAL CENTER,LA,1.0042,21.5,21.4,70554
6349,OCHSNER MEDICAL CENTER,LA,1.0324,14.4,14.0,70121
6350,OCHSNER MEDICAL CENTER,LA,1.0706,24.6,23.0,70121
6351,OCHSNER MEDICAL CENTER,LA,1.0951,5.1,4.6,70121
6352,OCHSNER MEDICAL CENTER,LA,1.0436,21.5,20.6,70121
6353,OCHSNER MEDICAL CENTER,LA,1.1211,19.8,17.6,70121
6354,OCHSNER MEDICAL CENTER,LA,1.0344,18.6,18.0,70121
6355,ST FRANCIS MEDICAL CENTER,LA,0.8965,11.6,12.9,71201
6356,ST FRANCIS MEDICAL CENTER,LA,0.9715,17.4,17.9,71201
6357,ST FRANCIS MEDICAL CENTER,LA,0.959,15.7,16.3,71201
6358,ST FRANCIS MEDICAL CENTER,LA,0.9525,19.2,20.1,71201
6359,ST FRANCIS MEDICAL CENTER,LA,0.9065,20.1,22.1,71201
6360,ST FRANCIS MEDICAL CENTER,LA,0.918,4.4,4.7,71201
6361,WOMEN'S AND CHILDREN'S HOSPITAL,LA,1.0,17.0,17.0,70508
6362,WOMEN'S AND CHILDREN'S HOSPITAL,LA,1.0295,20.6,20.0,70508
6363,WOMEN'S AND CHILDREN'S HOSPITAL,LA,1.0439,23.5,22.5,70508
6364,WOMEN'S AND CHILDREN'S HOSPITAL,LA,0.9864,18.0,18.3,70508
6365,WOMEN'S AND CHILDREN'S HOSPITAL,LA,1.0004,16.7,16.6,70508
6366,EAST CARROLL PARISH HOSPITAL,LA,1.0108,20.8,20.6,71254
6367,EAST CARROLL PARISH HOSPITAL,LA,0.8976,14.7,16.4,71254
6368,EAST CARROLL PARISH HOSPITAL,LA,1.0009,21.1,21.0,71254
6369,JENNIE STUART MEDICAL CENTER,KY,1.0001,18.5,18.5,42241
6370,JENNIE STUART MEDICAL CENTER,KY,1.0001,18.5,18.5,42240
6371,JENNIE STUART MEDICAL CENTER,KY,1.0594,21.7,20.5,42241
6372,JENNIE STUART MEDICAL CENTER,KY,1.0594,21.7,20.5,42240
6373,JENNIE STUART MEDICAL CENTER,KY,1.1966,20.1,16.8,42241
6374,JENNIE STUART MEDICAL CENTER,KY,1.1966,20.1,16.8,42240
6375,JENNIE STUART MEDICAL CENTER,KY,1.0938,20.5,18.8,42241
6376,JENNIE STUART MEDICAL CENTER,KY,1.0938,20.5,18.8,42240
6377,JENNIE STUART MEDICAL CENTER,KY,0.9901,4.4,4.4,42241
6378,JENNIE STUART MEDICAL CENTER,KY,0.9901,4.4,4.4,42240
6379,HARRISON MEMORIAL HOSPITAL,KY,0.9285,13.8,14.9,41031
6380,HARRISON MEMORIAL HOSPITAL,KY,0.9285,13.8,14.9,41031
6381,HARRISON MEMORIAL HOSPITAL,KY,0.9888,19.4,19.6,41031
6382,HARRISON MEMORIAL HOSPITAL,KY,0.9888,19.4,19.6,41031
6383,HARRISON MEMORIAL HOSPITAL,KY,1.0076,18.1,17.9,41031
6384,HARRISON MEMORIAL HOSPITAL,KY,1.0076,18.1,17.9,41031
6385,BAPTIST HEALTH CORBIN,KY,1.1088,21.0,18.9,40701
6386,BAPTIST HEALTH CORBIN,KY,1.0418,21.2,20.3,40701
6387,BAPTIST HEALTH CORBIN,KY,1.0952,5.6,5.1,40701
6388,BAPTIST HEALTH CORBIN,KY,0.9944,23.3,23.4,40701
6389,BAPTIST HEALTH CORBIN,KY,0.96,16.0,16.6,40701
6390,BEAUREGARD MEMORIAL HOSPITAL,LA,1.0598,19.3,18.2,70634
6391,BEAUREGARD MEMORIAL HOSPITAL,LA,0.9719,18.2,18.8,70634
6392,BEAUREGARD MEMORIAL HOSPITAL,LA,0.9958,24.1,24.2,70634
6393,BEAUREGARD MEMORIAL HOSPITAL,LA,0.9869,22.9,23.2,70634
6394,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9402,15.3,16.3,70601
6395,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9402,15.3,16.3,70601
6396,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9402,15.3,16.3,70605
6397,LAKE CHARLES MEMORIAL HOSPITAL,LA,1.0898,16.5,15.1,70601
6398,LAKE CHARLES MEMORIAL HOSPITAL,LA,1.0898,16.5,15.1,70601
6399,LAKE CHARLES MEMORIAL HOSPITAL,LA,1.0898,16.5,15.1,70605
6400,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9958,16.9,17.0,70601
6401,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9958,16.9,17.0,70601
6402,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9958,16.9,17.0,70605
6403,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9146,16.8,18.4,70601
6404,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9146,16.8,18.4,70601
6405,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9146,16.8,18.4,70605
6406,LAKE CHARLES MEMORIAL HOSPITAL,LA,1.2666,5.9,4.7,70601
6407,LAKE CHARLES MEMORIAL HOSPITAL,LA,1.2666,5.9,4.7,70601
6408,LAKE CHARLES MEMORIAL HOSPITAL,LA,1.2666,5.9,4.7,70605
6409,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9294,19.7,21.2,70601
6410,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9294,19.7,21.2,70601
6411,LAKE CHARLES MEMORIAL HOSPITAL,LA,0.9294,19.7,21.2,70605
6412,GARRETT COUNTY MEMORIAL HOSPITAL,MD,0.9882,4.0,4.1,21550
6413,GARRETT COUNTY MEMORIAL HOSPITAL,MD,0.895,13.4,15.0,21550
6414,GARRETT COUNTY MEMORIAL HOSPITAL,MD,0.9629,19.0,19.8,21550
6415,GARRETT COUNTY MEMORIAL HOSPITAL,MD,1.0107,16.0,15.8,21550
6416,GARRETT COUNTY MEMORIAL HOSPITAL,MD,0.9414,15.1,16.1,21550
6417,HOWARD COUNTY GENERAL HOSPITAL,MD,1.0088,15.7,15.6,21044
6418,HOWARD COUNTY GENERAL HOSPITAL,MD,0.9987,20.7,20.7,21044
6419,HOWARD COUNTY GENERAL HOSPITAL,MD,1.1689,5.3,4.6,21044
6420,HOWARD COUNTY GENERAL HOSPITAL,MD,1.1762,18.6,15.8,21044
6421,HOWARD COUNTY GENERAL HOSPITAL,MD,1.0951,20.8,19.0,21044
6422,MEDSTAR GOOD SAMARITAN HOSPITAL,MD,1.0216,24.3,23.8,21239
6423,MEDSTAR GOOD SAMARITAN HOSPITAL,MD,0.9291,19.1,20.6,21239
6424,MEDSTAR GOOD SAMARITAN HOSPITAL,MD,1.0844,23.4,21.6,21239
6425,MEDSTAR GOOD SAMARITAN HOSPITAL,MD,1.0161,19.1,18.8,21239
6426,MEDSTAR GOOD SAMARITAN HOSPITAL,MD,1.2946,5.9,4.6,21239
6427,ATLANTIC GENERAL HOSPITAL,MD,1.0721,22.3,20.8,21811
6428,ATLANTIC GENERAL HOSPITAL,MD,0.8834,16.9,19.1,21811
6429,ATLANTIC GENERAL HOSPITAL,MD,0.9811,15.6,15.9,21811
6430,ATLANTIC GENERAL HOSPITAL,MD,1.105,5.3,4.8,21811
6431,ATLANTIC GENERAL HOSPITAL,MD,1.0352,20.1,19.4,21811
6432,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,1.0546,24.1,22.8,20735
6433,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,1.0229,18.0,17.6,20735
6434,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,1.0965,23.1,21.1,20735
6435,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,1.0486,4.7,4.5,20735
6436,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,MD,1.0425,18.9,18.1,20735
6437,GOOD SAMARITAN MEDICAL CENTER,MA,1.1709,25.5,21.8,2301
6438,GOOD SAMARITAN MEDICAL CENTER,MA,1.1709,25.5,21.8,2072
6439,GOOD SAMARITAN MEDICAL CENTER,MA,1.1709,25.5,21.8,2072
6440,GOOD SAMARITAN MEDICAL CENTER,MA,1.1709,25.5,21.8,2301
6441,GOOD SAMARITAN MEDICAL CENTER,MA,0.953,15.0,15.7,2301
6442,GOOD SAMARITAN MEDICAL CENTER,MA,0.953,15.0,15.7,2072
6443,GOOD SAMARITAN MEDICAL CENTER,MA,0.953,15.0,15.7,2072
6444,GOOD SAMARITAN MEDICAL CENTER,MA,0.953,15.0,15.7,2301
6445,GOOD SAMARITAN MEDICAL CENTER,MA,1.0491,21.0,20.0,2301
6446,GOOD SAMARITAN MEDICAL CENTER,MA,1.0491,21.0,20.0,2072
6447,GOOD SAMARITAN MEDICAL CENTER,MA,1.0491,21.0,20.0,2072
6448,GOOD SAMARITAN MEDICAL CENTER,MA,1.0491,21.0,20.0,2301
6449,GOOD SAMARITAN MEDICAL CENTER,MA,1.0576,4.8,4.6,2301
6450,GOOD SAMARITAN MEDICAL CENTER,MA,1.0576,4.8,4.6,2072
6451,GOOD SAMARITAN MEDICAL CENTER,MA,1.0576,4.8,4.6,2072
6452,GOOD SAMARITAN MEDICAL CENTER,MA,1.0576,4.8,4.6,2301
6453,GOOD SAMARITAN MEDICAL CENTER,MA,1.2062,20.9,17.3,2301
6454,GOOD SAMARITAN MEDICAL CENTER,MA,1.2062,20.9,17.3,2072
6455,GOOD SAMARITAN MEDICAL CENTER,MA,1.2062,20.9,17.3,2072
6456,GOOD SAMARITAN MEDICAL CENTER,MA,1.2062,20.9,17.3,2301
6457,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,MA,1.1343,21.2,18.7,2130
6458,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,MA,1.0546,18.5,17.5,2130
6459,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,MA,0.8024,3.2,4.0,2130
6460,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,MA,1.1317,23.2,20.5,2130
6461,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,MA,0.9692,15.4,15.9,2130
6462,NORWOOD HOSPITAL,MA,1.0769,21.4,19.9,2062
6463,NORWOOD HOSPITAL,MA,1.2468,5.2,4.2,2062
6464,NORWOOD HOSPITAL,MA,1.003,16.2,16.2,2062
6465,NORWOOD HOSPITAL,MA,0.9664,20.3,21.0,2062
6466,NORWOOD HOSPITAL,MA,1.0705,16.2,15.2,2062
6467,MCLAREN CENTRAL MICHIGAN,MI,1.0179,17.8,17.5,48858
6468,MCLAREN CENTRAL MICHIGAN,MI,0.9419,18.8,19.9,48858
6469,MCLAREN CENTRAL MICHIGAN,MI,0.95,21.3,22.4,48858
6470,MCLAREN CENTRAL MICHIGAN,MI,1.0239,19.2,18.7,48858
6471,MCLAREN CENTRAL MICHIGAN,MI,0.8589,4.2,4.9,48858
6472,PENINSULA REGIONAL MEDICAL CENTER,MD,0.886,13.2,14.9,21801
6473,PENINSULA REGIONAL MEDICAL CENTER,MD,0.8425,12.4,14.8,21801
6474,PENINSULA REGIONAL MEDICAL CENTER,MD,0.8823,17.8,20.2,21801
6475,PENINSULA REGIONAL MEDICAL CENTER,MD,0.9537,17.0,17.9,21801
6476,PENINSULA REGIONAL MEDICAL CENTER,MD,0.9099,20.5,22.6,21801
6477,PENINSULA REGIONAL MEDICAL CENTER,MD,0.8906,4.4,4.9,21801
6478,BETH ISRAEL DEACONESS MEDICAL CENTER,MA,0.9562,20.0,21.0,2215
6479,BETH ISRAEL DEACONESS MEDICAL CENTER,MA,0.9562,20.0,21.0,2215
