,hospital_name,provider_number,state,readmission_ratio,predicted_rate,expected_rate
11739,RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,0.9851,15.5,15.8
11740,WETZEL COUNTY HOSPITAL,510072,WV,1.0345,19.8,19.2
11741,WETZEL COUNTY HOSPITAL,510072,WV,0.963,15.7,16.3
11744,SUMMERSVILLE REGIONAL MEDICAL CENTER,510082,WV,0.9716,21.1,21.8
11746,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR,520004,WI,0.8546,16.6,19.4
11747,WAUKESHA MEMORIAL HOSPITAL,520008,WI,1.0536,16.0,15.2
11748,WAUKESHA MEMORIAL HOSPITAL,520008,WI,0.9707,4.1,4.3
11750,LAKEVIEW MEDICAL CENTER,520011,WI,0.8967,3.7,4.1
11752,ST JOSEPHS HOSPITAL,520017,WI,0.9504,20.3,21.3
11754,LOYOLA UNIVERSITY MEDICAL CENTER,140276,IL,0.9978,21.0,21.0
11756,INOVA ALEXANDRIA HOSPITAL,490040,VA,1.2419,5.2,4.2
11757,NOVANT HEALTH UVA  PRINCE WILLIAM MEDICAL CENTER,490045,VA,0.978,17.4,17.8
11758,NOVANT HEALTH UVA  PRINCE WILLIAM MEDICAL CENTER,490045,VA,1.0312,20.9,20.3
11759,SENTARA LEIGH HOSPITAL,490046,VA,1.0874,24.0,22.1
11760,LEWISGALE MEDICAL CENTER,490048,VA,1.0061,20.6,20.5
11762,RESOLUTE HEALTH HOSPITAL,670098,TX,1.1674,23.5,20.1
11763,RESOLUTE HEALTH HOSPITAL,670098,TX,1.072,4.6,4.3
11764,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,330004,NY,1.0724,19.4,18.1
11765,KALEIDA HEALTH,330005,NY,0.9758,20.4,20.9
11766,KALEIDA HEALTH,330005,NY,0.9975,4.8,4.8
11767,ALBANY MEDICAL CENTER HOSPITAL,330013,NY,1.0964,17.3,15.7
11769,MOUNT SINAI HOSPITAL,330024,NY,0.9994,15.7,15.7
11770,NASSAU UNIVERSITY MEDICAL CENTER,330027,NY,1.1505,24.2,21.0
11772,NEWARK-WAYNE COMMUNITY HOSPITAL,330030,NY,1.0751,21.1,19.6
11774,CAROLINAS HEALTHCARE SYSTEM CLEVELAND,340021,NC,1.0053,20.8,20.7
11775,PARK RIDGE HEALTH,340023,NC,0.9969,4.0,4.0
11776,PARK RIDGE HEALTH,340023,NC,0.9555,14.3,14.9
11777,SAMPSON REGIONAL MEDICAL CENTER,340024,NC,0.9387,4.1,4.3
11778,CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,0.9597,16.1,16.7
11779,CAPE FEAR VALLEY MEDICAL CENTER,340028,NC,1.0009,14.0,14.0
11780,CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,340037,NC,1.0037,20.7,20.6
11781,CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,340037,NC,0.8704,13.6,15.6
11782,IREDELL MEMORIAL HOSPITAL INC,340039,NC,0.9474,15.5,16.3
11783,ADVOCATE GOOD SAMARITAN HOSPITAL,140288,IL,1.0723,14.6,13.6
11784,ANDERSON HOSPITAL,140289,IL,1.0623,15.7,14.8
11785,ST ALEXIUS MEDICAL CENTER,140290,IL,0.893,16.3,18.2
11786,MEMORIAL HOSPITAL,150072,IN,0.8856,13.9,15.7
11787,DEACONESS HOSPITAL INC,150082,IN,1.0518,17.2,16.3
11788,WITHAM HEALTH SERVICES,150104,IN,0.9594,18.4,19.2
11790,GOOD SAMARITAN HOSPITAL,150042,IN,0.9652,15.2,15.8
11792,SWEDISH AMERICAN HOSPITAL,140228,IL,1.0652,19.8,18.6
11793,ASPIRUS WAUSAU HOSPITAL,520030,WI,0.8474,12.0,14.2
11795,ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC,520033,WI,0.9061,13.7,15.1
11799,PEARLAND MEDICAL CENTER,670106,TX,1.0019,22.6,22.6
11806,TWIN COUNTY REGIONAL HOSPITAL,490115,VA,0.9001,3.9,4.4
11807,SKAGIT VALLEY HOSPITAL,500003,WA,0.9486,14.9,15.7
11808,SWEDISH MEDICAL CENTER / CHERRY HILL,500025,WA,0.973,13.6,14.0
11810,ST CLARE HOSPITAL,500021,WA,1.0006,19.1,19.1
11811,ST CLARE HOSPITAL,500021,WA,0.88,18.4,20.9
11812,PROVIDENCE ST PETER HOSPITAL,500024,WA,0.9721,4.1,4.2
11813,PROVIDENCE ST PETER HOSPITAL,500024,WA,0.9622,15.4,16.0
11814,SWEDISH MEDICAL CENTER / CHERRY HILL,500025,WA,1.0247,16.3,15.9
11815,NATHAN LITTAUER HOSPITAL,330276,NY,1.0833,6.6,6.1
11817,CORNING HOSPITAL,330277,NY,0.958,15.5,16.2
11818,MERCY HOSPITAL OF BUFFALO,330279,NY,0.9971,15.6,15.7
11819,MERCY HOSPITAL OF BUFFALO,330279,NY,0.907,15.6,17.2
11820,STRONG MEMORIAL HOSPITAL,330285,NY,1.0244,14.9,14.5
11821,STRONG MEMORIAL HOSPITAL,330285,NY,1.0898,19.2,17.6
11822,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,330286,NY,1.1717,15.3,13.0
11825,CHICKASAW NATION MEDICAL CENTER,370180,OK,0.964,14.5,15.0
11826,AURORA MEDICAL CTR MANITOWOC COUNTY,520034,WI,0.9312,4.4,4.8
11827,AURORA MEDICAL CTR MANITOWOC COUNTY,520034,WI,0.9406,16.1,17.1
11828,DIVINE SAVIOR HEALTHCARE,520041,WI,1.0511,19.4,18.5
11829,ST NICHOLAS HOSPITAL,520044,WI,0.8729,17.4,19.9
11830,SHAWNEE MISSION MEDICAL CENTER,170104,KS,0.9811,12.5,12.8
11831,HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,1.0554,17.5,16.6
11832,ST ELIZABETH MEDICAL CENTER NORTH,180035,KY,0.9501,15.7,16.6
11834,"DUNCAN REGIONAL HOSPITAL, INC",370023,OK,1.0091,17.1,17.0
11835,HIGH POINT REGIONAL HOSPITAL,340004,NC,0.9076,10.7,11.8
11836,RIVERSIDE REGIONAL MEDICAL CENTER,490052,VA,1.0129,15.0,14.8
11837,JOHNSTON MEMORIAL HOSPITAL,490053,VA,1.0569,18.2,17.3
11838,CLINCH VALLEY MEDICAL CENTER,490060,VA,1.0179,20.1,19.7
11839,CAYUGA MEDICAL CENTER AT ITHACA,330307,NY,0.9379,17.8,19.0
11840,PLAINVIEW HOSPITAL,330331,NY,1.1194,23.8,21.3
11841,PLAINVIEW HOSPITAL,330331,NY,0.9936,17.1,17.2
11842,SOUTHAMPTON HOSPITAL,330340,NY,0.9821,20.4,20.7
11843,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),330350,NY,1.1763,26.6,22.6
11845,UNIVERSITY HOSPITAL ( STONY BROOK ),330393,NY,1.0516,15.1,14.3
11846,"UNITED HEALTH SERVICES HOSPITALS, INC",330394,NY,0.9761,14.5,14.9
11847,SETON NORTHWEST HOSPITAL,450867,TX,1.0692,4.2,3.9
11849,SOUTHSIDE HOSPITAL,330043,NY,0.8867,13.9,15.7
11850,FAXTON-ST LUKE'S HEALTHCARE,330044,NY,1.3206,6.5,4.9
11851,FAXTON-ST LUKE'S HEALTHCARE,330044,NY,1.083,19.1,17.7
11852,WAYNE MEMORIAL HOSPITAL,340010,NC,1.0113,4.8,4.8
11853,ST MARY'S HOSPITAL AT AMSTERDAM,330047,NY,0.9395,8.7,9.2
11854,NEW YORK-PRESBYTERIAN/QUEENS,330055,NY,1.0948,18.4,16.8
11856,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,NY,0.9109,4.5,4.9
11857,GENEVA GENERAL HOSPITAL,330058,NY,1.116,20.0,18.0
11858,MONTEFIORE MEDICAL CENTER,330059,NY,1.1446,20.0,17.5
11860,UNIVERSITY MEDICAL CENTER NEW ORLEANS,190005,LA,0.9949,20.5,20.6
11861,TERREBONNE GENERAL MEDICAL CENTER,190008,LA,1.1255,24.7,21.9
11862,SLIDELL MEMORIAL HOSPITAL,190040,LA,0.9998,5.8,5.8
11863,MERCY HEALTH SYSTEM CORP,520066,WI,0.9944,13.9,14.0
11864,MERCY HEALTH SYSTEM CORP,520066,WI,0.9438,17.1,18.1
11865,INOVA FAIRFAX HOSPITAL,490063,VA,1.125,4.5,4.0
11866,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,490066,VA,0.8811,18.5,21.0
11867,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,490069,VA,0.9186,11.3,12.3
11868,MARTHA JEFFERSON HOSPITAL,490077,VA,0.9431,17.6,18.7
11870,BEDFORD MEMORIAL HOSPITAL,490088,VA,1.0536,16.9,16.1
11871,"SOUTHSIDE COMMUNITY HOSPITAL, INC",490090,VA,0.9707,18.1,18.6
11872,"SOUTHSIDE COMMUNITY HOSPITAL, INC",490090,VA,1.0021,15.9,15.8
11877,ST VINCENT'S BIRMINGHAM,10056,AL,1.3024,17.1,13.2
11880,BAYLOR MEDICAL CENTER AT TROPHY CLUB,450883,TX,1.1538,3.5,3.0
11890,HILLCREST MEDICAL CENTER,370001,OK,1.0911,20.5,18.8
11891,ALLIANCEHEALTH WOODWARD,370002,OK,0.9888,4.3,4.4
11893,F F THOMPSON HOSPITAL,330074,NY,1.1054,16.9,15.3
11895,ALICE HYDE MEDICAL CENTER,330084,NY,1.0352,5.3,5.1
11897,ARNOT OGDEN MEDICAL CENTER,330090,NY,1.0712,18.2,17.0
11898,ARNOT OGDEN MEDICAL CENTER,330090,NY,0.9628,13.4,13.9
11899,COLUMBIA MEMORIAL HOSPITAL,330094,NY,1.1073,23.5,21.3
11900,JONES MEMORIAL HOSPITAL,330096,NY,0.9941,19.1,19.2
11902,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,320013,NM,0.9403,17.7,18.8
11903,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,320013,NM,1.0689,3.4,3.1
11905,GILA REGIONAL MEDICAL CENTER,320016,NM,1.0086,14.3,14.1
11906,WHEATON FRANCISCAN HEALTHCARE ST FRANCIS HOSPITAL,520078,WI,0.8811,19.3,21.9
11907,SSM HEALTH ST MARY'S HOSPITAL - MADISON,520083,WI,0.9834,18.0,18.3
11908,SSM HEALTH ST MARY'S HOSPITAL - MADISON,520083,WI,0.799,16.5,20.6
11909,GUNDERSEN LUTHERAN MEDICAL CENTER,520087,WI,0.98,18.8,19.2
11910,UNITYPOINT HEALTH - MERITER,520089,WI,0.9777,18.0,18.4
11911,SAINT JOSEPH MOUNT STERLING,180064,KY,1.0392,18.2,17.5
11912,EASTERN MAINE MEDICAL CENTER,200033,ME,1.0927,13.6,12.4
11913,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,210016,MD,1.0077,21.2,21.0
11914,BULLOCK COUNTY HOSPITAL,10110,AL,1.0181,14.9,14.6
11915,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,10118,AL,1.0739,18.4,17.2
11916,LAKELAND COMMUNITY HOSPITAL,10125,AL,0.7636,11.0,14.5
11917,COOSA VALLEY MEDICAL CENTER,10164,AL,0.9139,15.5,16.9
11919,KINGMAN REGIONAL MEDICAL CENTER,30055,AZ,1.1914,20.1,16.9
11920,BANNER BOSWELL MEDICAL CENTER,30061,AZ,0.9631,4.7,4.9
11921,HONORHEALTH DEER VALLEY MEDICAL CENTER,30092,AZ,1.0829,17.9,16.5
11922,WHITE COUNTY MEDICAL CENTER,40014,AR,1.0273,16.9,16.4
11923,CHESTER REGIONAL MEDICAL CENTER,420019,SC,0.9766,14.6,15.0
11924,ST FRANCIS-DOWNTOWN,420023,SC,0.8276,13.4,16.2
11925,CHRISTUS GOOD SHEPHERD MEDICAL CENTER MARSHALL,450032,TX,1.0867,18.4,16.9
11926,TIMPANOGOS REGIONAL HOSPITAL,460052,UT,1.1955,4.6,3.8
11927,PARK CITY HOSPITAL,460057,UT,0.9526,12.0,12.6
11929,INTEGRIS SOUTHWEST MEDICAL CENTER,370106,OK,0.9547,14.8,15.5
11930,INTEGRIS SOUTHWEST MEDICAL CENTER,370106,OK,0.9525,15.9,16.7
11931,SEQUOYAH COUNTY-CITY OF SALLISAW HOSPITAL AUTHORIT,370112,OK,0.7925,11.9,15.0
11932,BEAUFORT COUNTY MEMORIAL HOSPITAL,420067,SC,0.9789,12.6,12.8
11933,MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,TX,1.0061,22.0,21.8
11934,DUKE UNIVERSITY HOSPITAL,340030,NC,0.9358,19.2,20.5
11935,ALLIANCEHEALTH WOODWARD,370002,OK,0.9797,14.0,14.3
11936,ALLIANCEHEALTH PONCA CITY,370006,OK,1.1147,21.1,19.0
11937,NORMAN REGIONAL,370008,OK,1.0835,17.5,16.1
11939,ALLIANCEHEALTH DURANT,370014,OK,1.0803,22.2,20.6
11940,ALLIANCEHEALTH DURANT,370014,OK,1.3143,6.5,4.9
11941,HILLCREST HOSPITAL PRYOR,370015,OK,1.0396,3.7,3.5
11942,"JANE PHILLIPS MEMORIAL MEDICAL CENTER, INC",370018,OK,0.9734,13.2,13.6
11944,GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,0.9451,19.4,20.6
11945,MERCY HOSPITAL ADA,370020,OK,0.993,19.6,19.7
11946,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,370022,OK,1.0215,16.8,16.5
11948,MEMORIAL MEDICAL CENTER,320018,NM,0.8853,11.7,13.3
11949,PLAINS REGIONAL MEDICAL CENTER,320022,NM,0.9206,13.5,14.7
11950,LOS ALAMOS MEDICAL CENTER,320033,NM,1.0119,20.2,20.0
11951,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,320038,NM,1.0046,18.6,18.5
11952,WYOMING MEDICAL CENTER,530012,WY,1.3138,5.7,4.4
11954,NORTHERN NAVAJO MEDICAL CENTER,320059,NM,1.0051,17.3,17.2
11956,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,320060,NM,1.0097,14.0,13.8
11959,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,310110,NJ,1.0899,19.5,17.9
11960,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,210062,MD,1.0486,4.7,4.5
11961,HOLY CROSS GERMANTOWN HOSPITAL,210065,MD,1.0437,4.3,4.1
11962,MORTON HOSPITAL,220073,MA,1.1152,18.8,16.9
11963,MORTON HOSPITAL,220073,MA,1.072,18.9,17.6
11964,ST MARYS HOSPITAL MEDICAL CTR,520097,WI,0.9448,18.3,19.4
11965,ST MARYS HOSPITAL MEDICAL CTR,520097,WI,1.1193,17.4,15.5
11966,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,520098,WI,0.9903,13.0,13.1
11967,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,520098,WI,0.9706,21.4,22.0
11968,BELOIT MEMORIAL HOSPITAL,520100,WI,0.9859,13.9,14.1
11970,AURORA LAKELAND MEDICAL CENTER,520102,WI,0.9655,18.8,19.5
11971,HOLY FAMILY MEMORIAL,520107,WI,0.9748,16.9,17.3
11973,WHEATON FRANCISCAN - ST JOSEPH,520136,WI,0.9325,18.7,20.0
11975,INOVA FAIR OAKS HOSPITAL,490101,VA,1.1041,20.9,18.9
11977,LEWISGALE HOSPITAL MONTGOMERY,490110,VA,1.0262,13.2,12.9
11978,LEWISGALE HOSPITAL MONTGOMERY,490110,VA,1.1207,17.5,15.6
11979,WYTHE COUNTY COMMUNITY HOSPITAL,490111,VA,0.9294,17.1,18.4
11980,WELLSPAN SURGERY AND REHABILITATION HOSPITAL,390327,PA,1.2252,5.1,4.2
11981,UPMC EAST,390328,PA,0.9991,20.9,20.9
11983,ROGER WILLIAMS MEDICAL CENTER,410004,RI,0.9978,20.0,20.0
11984,ROGER WILLIAMS MEDICAL CENTER,410004,RI,0.987,15.9,16.1
11985,OUR LADY OF FATIMA HOSPITAL,410005,RI,1.0798,21.8,20.2
11986,OUR LADY OF FATIMA HOSPITAL,410005,RI,1.0024,22.6,22.5
11987,OUR LADY OF FATIMA HOSPITAL,410005,RI,0.9986,4.5,4.5
11988,SOUTH COUNTY HOSPITAL INC,410008,RI,0.9537,19.6,20.6
11991,"UNITED HEALTH SERVICES HOSPITALS, INC",330394,NY,0.9257,15.6,16.8
11993,CENTRASTATE MEDICAL CENTER,310111,NJ,1.0395,21.9,21.1
11994,BAYSHORE MEDICAL CENTER,310112,NJ,1.0435,23.0,22.1
11995,BAYSHORE MEDICAL CENTER,310112,NJ,1.0718,25.4,23.7
11996,SOUTHERN OCEAN MEDICAL CENTER,310113,NJ,0.936,5.1,5.4
11998,UNIVERSITY HOSPITAL,310119,NJ,0.9675,22.7,23.4
11999,HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,310130,NJ,0.9447,18.7,19.8
12000,UNM HOSPITAL,320001,NM,0.9989,4.2,4.2
12001,SAN MIGUEL CORP D/B/A ALTA VISTA REGIONAL HOSPITAL,320003,NM,1.0581,21.1,19.9
12002,EASTERN NEW MEXICO MEDICAL CENTER,320006,NM,1.0009,20.7,20.7
12003,PRESBYTERIAN ESPANOLA HOSPITAL,320011,NM,1.0101,17.3,17.1
12004,PRESBYTERIAN ESPANOLA HOSPITAL,320011,NM,0.9683,19.9,20.5
12005,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,520177,WI,1.0081,22.5,22.3
12006,MEDSTAR HARBOR HOSPITAL,210034,MD,0.9074,4.3,4.7
12007,DOCTORS HOSPITAL AT DEER CREEK L L C,190297,LA,0.998,18.6,18.7
12008,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,230273,MI,1.0698,21.2,19.9
12009,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,490113,VA,0.9298,14.8,15.9
12010,HENRICO DOCTORS' HOSPITAL,490118,VA,0.9339,12.2,13.0
12011,ST BARNABAS HOSPITAL,330399,NY,1.0769,17.0,15.8
12012,ST CATHERINE OF SIENA HOSPITAL,330401,NY,1.0729,17.9,16.7
12016,CAROLINAS HEALTHCARE SYSTEM NORTHEAST,340001,NC,0.972,20.8,21.4
12017,CAROLINAS HEALTHCARE SYSTEM NORTHEAST,340001,NC,1.0566,4.4,4.1
12018,CAROLINAS HEALTHCARE SYSTEM NORTHEAST,340001,NC,0.9599,16.3,16.9
12019,HIGH POINT REGIONAL HOSPITAL,340004,NC,1.0079,22.4,22.3
12021,CLARA MAASS MEDICAL CENTER,310009,NJ,0.7786,3.5,4.5
12022,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,310010,NJ,1.0218,14.8,14.5
12024,VALLEY HOSPITAL,310012,NJ,0.9932,15.6,15.7
12025,MORRISTOWN MEDICAL CENTER,310015,NJ,0.8348,11.4,13.6
12026,MORRISTOWN MEDICAL CENTER,310015,NJ,1.0127,19.7,19.4
12027,CHILTON MEDICAL CENTER,310017,NJ,1.1225,18.0,16.1
12028,ST JOSEPH'S REGIONAL MEDICAL CENTER,310019,NJ,1.3226,6.0,4.5
12029,ST JOSEPH'S REGIONAL MEDICAL CENTER,310019,NJ,1.2286,21.7,17.7
12030,ST FRANCIS MEDICAL CENTER,310021,NJ,1.0091,18.1,17.9
12031,VIRTUA WEST JERSEY HOSPITALS VOORHEES,310022,NJ,1.119,23.6,21.1
12032,VIRTUA WEST JERSEY HOSPITALS VOORHEES,310022,NJ,1.1068,4.7,4.3
12033,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,310024,NJ,1.0115,20.0,19.8
12034,NEWTON MEDICAL CENTER,310028,NJ,1.0589,18.0,17.0
12036,NEWTON MEDICAL CENTER,310028,NJ,0.9705,4.4,4.5
12037,BEAUMONT HOSPITAL - DEARBORN,230020,MI,1.1516,24.4,21.2
12038,HENRY FORD MACOMB HOSPITAL,230047,MI,0.9939,5.0,5.0
12041,OAKLEAF SURGICAL HOSPITAL,520196,WI,0.8685,2.9,3.3
12043,AURORA MEDICAL CTR OSHKOSH,520198,WI,0.9586,15.5,16.2
12044,ST CLARES HOSPITAL OF WESTON,520202,WI,0.9593,4.3,4.5
12045,WHEATON FRANCISCAN HEALTHCARE FRANKLIN,520204,WI,0.9935,19.9,20.0
12047,AURORA MEDICAL CENTER,520206,WI,0.9488,14.4,15.1
12048,AURORA MEDICAL CENTER,520207,WI,0.9818,13.6,13.9
12049,SHERIDAN MEMORIAL HOSPITAL,530006,WY,0.9547,16.6,17.4
12050,ALHAMBRA HOSPITAL MEDICAL CENTER,50281,CA,0.9647,18.2,18.9
12051,"WAKEMED, RALEIGH CAMPUS",340069,NC,0.8913,3.9,4.4
12052,ALAMANCE REGIONAL MEDICAL CENTER,340070,NC,0.8462,3.9,4.6
12053,BETSY JOHNSON REGIONAL  HOSPITAL,340071,NC,1.1154,18.4,16.5
12054,SANFORD USD MEDICAL CENTER,430027,SD,0.8684,14.4,16.6
12056,GOOD SAMARITAN REGIONAL MEDICAL CENTER,380014,OR,0.9253,19.0,20.6
12057,ASANTE ROGUE REGIONAL MEDICAL CENTER,380018,OR,0.9247,18.4,19.9
12060,HENRICO DOCTORS' HOSPITAL,490118,VA,1.194,4.9,4.1
12061,CHESAPEAKE GENERAL HOSPITAL,490120,VA,1.2044,20.3,16.9
12062,SALT LAKE REGIONAL MEDICAL CENTER,460003,UT,0.9802,20.0,20.4
12063,MCKAY DEE HOSPITAL,460004,UT,0.8828,11.4,12.9
12064,OGDEN REGIONAL MEDICAL CENTER,460005,UT,1.0397,16.4,15.7
12065,CASTLEVIEW HOSPITAL,460011,UT,0.9519,16.1,16.9
12066,CASTLEVIEW HOSPITAL,460011,UT,0.9912,19.5,19.7
12067,CASTLEVIEW HOSPITAL,460011,UT,1.0805,3.7,3.4
12068,CASTLEVIEW HOSPITAL,460011,UT,0.9322,14.2,15.3
12069,MOUNTAIN VIEW HOSPITAL,460013,UT,0.9802,14.6,14.9
12070,MOUNTAIN WEST MEDICAL CENTER,460014,UT,0.9614,4.4,4.6
12073,ETMC HENDERSON,450475,TX,1.1412,21.8,19.1
12077,PARMA COMMUNITY GENERAL HOSPITAL,360041,OH,1.0746,19.1,17.8
12078,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,360046,OH,1.0479,15.7,15.0
12079,HEART OF LANCASTER MEDICAL CENTER,390068,PA,0.9995,16.0,16.0
12080,LOCK HAVEN HOSPITAL,390071,PA,0.939,16.2,17.3
12082,SAINT FRANCIS BARTLETT MEDICAL CENTER,440228,TN,0.9944,15.5,15.6
12083,FREESTONE MEDICAL CENTER,450658,TX,1.014,16.7,16.5
12084,BLANCHARD VALLEY HOSPITAL,360095,OH,0.9298,14.8,15.9
12086,YAKIMA VALLEY MEMORIAL HOSPITAL,500036,WA,0.9175,3.8,4.2
12089,ST JOHNS MEDICAL CENTER,530015,WY,1.0071,17.0,16.8
12090,WEBSTER GENERAL HOSPITAL/ SWING BED,250020,MS,1.2074,19.2,15.9
12093,MISSISSIPPI BAPTIST MEDICAL CENTER,250102,MS,0.9351,3.9,4.2
12094,ANDERSON REGIONAL MEDICAL CTR,250104,MS,0.9982,4.6,4.6
12095,RESEARCH MEDICAL CENTER,260027,MO,0.9999,14.3,14.3
12097,ST ANTHONY'S MEDICAL CENTER,260077,MO,1.0244,15.0,14.7
12098,INOVA MOUNT VERNON HOSPITAL,490122,VA,0.9029,3.6,4.0
12099,LEWISGALE HOSPITAL ALLEGHANY,490126,VA,1.0141,19.3,19.0
12100,LEWISGALE HOSPITAL ALLEGHANY,490126,VA,1.0353,22.6,21.8
12101,BUCHANAN GENERAL HOSPITAL,490127,VA,1.1449,21.3,18.6
12104,"STAFFORD HOSPITAL, LLC",490140,VA,0.9768,19.1,19.6
12106,NORTHWEST HOSPITAL,500001,WA,0.9349,18.1,19.3
12107,NORTHWEST HOSPITAL,500001,WA,0.919,13.8,15.1
12108,VIRGINIA MASON MEDICAL CENTER,500005,WA,1.0275,16.4,15.9
12109,ANTELOPE VALLEY HOSPITAL,50056,CA,1.0261,17.6,17.1
12110,ALLIANCEHEALTH DEACONESS,370032,OK,1.0062,20.1,20.0
12111,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,370034,OK,1.0707,19.6,18.3
12112,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,370034,OK,1.0431,21.0,20.2
12113,ST ANTHONY HOSPITAL,370037,OK,0.8841,4.2,4.8
12115,HILLCREST HOSPITAL CLAREMORE,370039,OK,1.0414,15.7,15.1
12116,BRISTOW MEDICAL CENTER,370041,OK,1.0076,22.1,21.9
12117,HARRISON MEMORIAL HOSPITAL,500039,WA,0.9153,3.8,4.2
12118,PEACHEALTH ST JOHN MEDICAL CENTER,500041,WA,0.9018,14.9,16.5
12119,MULTICARE DEACONESS HOSPITAL,500044,WA,0.9113,12.9,14.1
12120,WALLA WALLA GENERAL HOSPITAL,500049,WA,0.9749,17.5,18.0
12121,WALLA WALLA GENERAL HOSPITAL,500049,WA,0.9758,14.2,14.6
12122,PEACEHEALTH SOUTHWEST MEDICAL CENTER,500050,WA,1.0079,15.2,15.1
12123,KADLEC REGIONAL MEDICAL CENTER,500058,WA,1.0043,21.7,21.6
12124,CASCADE VALLEY HOSPITAL,500060,WA,0.9806,15.9,16.3
12125,PROVIDENCE HOLY FAMILY HOSPITAL,500077,WA,1.0417,19.7,18.9
12126,PROVIDENCE HOLY FAMILY HOSPITAL,500077,WA,0.9583,19.7,20.5
12127,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,50324,CA,0.8721,11.7,13.5
12130,ST MARKS MEDICAL CENTER,670004,TX,1.1188,5.1,4.6
12131,MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD,670005,TX,1.2504,5.4,4.3
12133,THE HOSPITAL AT WESTLAKE MEDICAL CENTER,670006,TX,1.1626,4.2,3.6
12135,ST LUKE'S PATIENTS MEDICAL CENTER,670031,TX,0.963,18.9,19.7
12136,ST LUKE'S PATIENTS MEDICAL CENTER,670031,TX,0.9851,22.0,22.3
12137,SCOTT & WHITE HOSPITAL-ROUND ROCK,670034,TX,0.9672,20.0,20.7
12138,SCOTT & WHITE HOSPITAL-ROUND ROCK,670034,TX,0.9692,20.8,21.5
12140,BAKERSFIELD HEART HOSPITAL,50724,CA,1.0069,22.4,22.3
12141,SADDLEBACK MEMORIAL MEDICAL CENTER,50603,CA,1.0451,16.6,15.9
12142,SUTTER AUBURN FAITH HOSPITAL,50498,CA,1.1453,4.7,4.1
12143,SAINT VINCENT MEDICAL CENTER,50502,CA,0.8329,4.3,5.2
12144,"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",380052,OR,0.9918,4.0,4.1
12147,GRADY MEMORIAL HOSPITAL,370054,OK,1.035,17.5,16.9
12148,GRADY MEMORIAL HOSPITAL,370054,OK,0.9456,18.9,20.0
12149,GRADY MEMORIAL HOSPITAL,370054,OK,0.8667,13.4,15.4
12150,COMANCHE COUNTY MEMORIAL HOSPITAL,370056,OK,0.9501,17.5,18.4
12151,COMANCHE COUNTY MEMORIAL HOSPITAL,370056,OK,0.9294,20.7,22.2
12152,COMANCHE COUNTY MEMORIAL HOSPITAL,370056,OK,0.9672,17.2,17.8
12153,MUSCOGEE (CREEK) NATION MEDICAL CENTER,370057,OK,1.0358,19.8,19.1
12154,LANDMARK MEDICAL CENTER,410011,RI,1.059,18.7,17.7
12155,THE MIRIAM HOSPITAL,410012,RI,0.844,13.6,16.1
12156,WESTERLY HOSPITAL,410013,RI,1.0227,16.6,16.3
12157,PIEDMONT MEDICAL CENTER,420002,SC,1.0034,14.7,14.6
12158,PIEDMONT MEDICAL CENTER,420002,SC,0.9864,13.7,13.9
